iter	RMSE
883	70364.52279
884	70234.70172
885	70095.0245
886	70063.95761
887	70029.66842
888	70001.17979
889	69950.49494
890	69916.44715
891	69884.61646
892	69860.07693
893	69694.49883
894	69669.43674
895	69642.01113
896	69617.19608
897	69583.71508
898	69428.74788
899	69404.47563
900	69373.35072
901	69349.58005
902	69320.0875
903	69287.46749
904	69263.0169
905	69133.79563
906	69109.9191
907	69084.56227
908	69058.80276
909	69027.32135
910	68910.79299
911	68883.77168
912	68756.83497
913	68731.5606
914	68701.07449
915	68675.3792
916	68541.92059
917	68519.39556
918	68496.84179
919	68473.13707
920	68447.84815
921	68424.48239
922	68322.25711
923	68297.99313
924	68195.73736
925	68058.95839
926	68031.09167
927	67921.50928
928	67788.97195
929	67766.36089
930	67744.47394
931	67720.79303
932	67693.57633
933	67670.47555
934	67649.29587
935	67628.86011
936	67608.64732
937	67505.45406
938	67477.01229
939	67455.08227
940	67427.24577
941	67298.26263
942	67169.91205
943	67150.71028
944	67052.02659
945	67029.32755
946	66944.82056
947	66848.22233
948	66707.69492
949	66599.66103
950	66573.4558
951	66547.04168
952	66448.10487
953	66423.09473
954	66403.93233
955	66327.70841
956	66225.9562
957	66198.80485
958	66096.37781
959	66078.65184
960	65979.23294
961	65879.5363
962	65862.20117
963	65706.86341
964	65623.52889
965	65491.28491
966	65473.92488
967	65347.89946
968	65229.75006
969	65149.68058
970	65130.50766
971	65107.34187
972	65090.06872
973	64956.00525
974	64936.3034
975	64819.6525
976	64800.44051
977	64782.57371
978	64765.75848
979	64746.30329
980	64624.94842
981	64603.93693
982	64581.61842
983	64563.04926
984	64543.7449
985	64424.65351
986	64406.81101
987	64383.35812
988	64297.6494
989	64280.00478
990	64141.53149
991	64125.10103
992	64013.77785
993	63894.239
994	63879.15416
995	63864.52637
996	63739.09152
997	63722.50739
998	63703.2449
999	63594.84931
1000	63500.98282
1001	63486.41575
1002	63471.06454
1003	63456.09772
1004	63381.05746
1005	63367.19534
1006	63264.97967
1007	63168.61272
1008	63153.57071
1009	63135.07344
1010	63022.62874
1011	62981.27244
1012	62965.43091
1013	62949.56327
1014	62865.35505
1015	62745.3796
1016	62727.17623
1017	62713.55966
1018	62697.42543
1019	62569.3025
1020	62467.93979
1021	62446.54873
1022	62325.17206
1023	62214.43603
1024	62118.86977
1025	62034.96617
1026	61934.85072
1027	61851.51027
1028	61828.73193
1029	61812.97776
1030	61716.36476
1031	61650.61243
1032	61634.2237
1033	61618.45532
1034	61606.16368
1035	61590.85118
1036	61529.65844
1037	61443.26647
1038	61430.20004
1039	61417.03631
1040	61310.82032
1041	61299.27035
1042	61283.0683
1043	61189.96753
1044	61169.64051
1045	61059.81335
1046	60968.35519
1047	60909.10149
1048	60894.50954
1049	60881.76259
1050	60867.10574
1051	60779.09135
1052	60766.39117
1053	60654.00836
1054	60550.9282
1055	60537.56847
1056	60451.12585
1057	60365.67573
1058	60351.45007
1059	60291.72435
1060	60279.61561
1061	60267.96579
1062	60179.08351
1063	60104.88001
